theme,words
encha\^{i}nement,an apple
encha\^{i}nement,an egg
encha\^{i}nement,I have an apple.
encha\^{i}nement,I ate an egg
encha\^{i}nement,I have an English book.
encha\^{i}nement,Bob is in Africa.
encha\^{i}nement,I'm an American.
encha\^{i}nement,Can you get it for me?
encha\^{i}nement,She was born in August.
encha\^{i}nement,Please take it.
encha\^{i}nement,Please stand up.
encha\^{i}nement,I'll be back in an hour.
linking R,for ever
linking R,There are tears in her eyes.
gemination拇音化/tt/,eight times
gemination拇音化/tt/,She likes hot tea.
gemination拇音化/tt/,What time is it now?
gemination拇音化/tt/,Let's get together.
gemination拇音化/tt/,Have a great time/
gemination拇音化/kk/,Take care.
gemination拇音化/kk/,She drank cold milk.
gemination拇音化/kk/,Walk quickly.
gemination拇音化/kk/,You have to think carefully.
gemination拇音化/kk/,I don't like black coffee.
gemination???/pp/,Stop playing the game.
gemination???/pp/,They swam in the deep  pool.
gemination???/pp/,Help Peter with his homework.
gemination???/pp/,I hope Paul will win.
gemination???/pp/,I'll skip practice this week.
gemination拇音化/dd/,Have a good day.
gemination拇音化/dd/,It's been a bad day.
gemination拇音化/dd/,I told Dad about it.
gemination拇音化/dd/,"There are no bad dogs, only bad owners."
gemination拇音化/dd/,I had a good dream last night.
gemination拇音化/gg/,We have a big game tomorrow.
gemination拇音化/gg/,The pig grows fast.
gemination拇音化/gg/,My dog goes to the park every day.
gemination拇音化/gg/,The park has a big garden.
gemination拇音化/gg/,She is a big girl now.
gemination拇音化/bb/,Please open your web browser.
gemination拇音化/bb/,Bob bought a new car.
gemination拇音化/bb/,He plays in a club band.
gemination拇音化/bb/,You can grab both.
gemination拇音化/bb/,I checked the job board.
gemination拇音化/bb/,scrub brush
gemination拇音化/bb/,Let's grab burgers.
gemination拇音化/pb/,deep blue
gemination拇音化/pb/,Let's stop by the store.
gemination拇音化/pb/,Don't drop the soup bowl.
gemination拇音化/pb/,You will sleep better tonight.
gemination拇音化/pb/,Take a deep breath.
gemination拇音化/pb/,I bought a cheap book.
,
gemination拇音化/bp/,Look at this web page.
,Let's grab popcorn before the movie.
,Bob played soccer yesterday.
,The drama has an interesting subplot.
,His job performance is excellent.
gemination拇音化/td/,Please sit down.
gemination拇音化/td/,He came the next day.
gemination拇音化/td/,What did you do?
gemination拇音化/dt/,bedtime
gemination拇音化/dt/,We had a good time.
gemination拇音化/dt/,I had a very good time.
gemination拇音化/kg/,The cat was in the back garden.
gemination拇音化/kg/,Please close the back gate.
gemination拇音化/kg/,I like hot dogs.
gemination拇音化/gk/,I ate a big cake.
gemination拇音化/gk/,He drives a big car.
gemination拇音化/gk/,I saw a big cat.
/pt/,See you in September.
/pt/,My birthday is in September.
/pt/,The movie is in the top ten.
/pt/,He is our team captain.
/pt/,Let's move on to step two.
/pt/,Just keep trying.
/pt/,Stop talking.
/tp/,This is a great place.
/tp/,I need some white paper.
/tp/,Look at this foorprint.
/pk/,napkin
/pk/,Please keep quiet.
/kp/,I lost my black pen.
/kt/,doctor
/kt/,picture
/kt/,Please take two cookies.
/kt/,Let's work together.
/tk/,Let's drink some hot coffee.
/tk/,Can I pay by credit card?
/tk/,Look at that car.
/bd/,Bob did his homework.
/bd/,He is a cab driver.
/bd/,She studies web design.
/db/,You are a good boy.
/db/,I bought a red bag.
/db/,That's a very good book.
/bg/,Bob got a new phone.
/bg/,Let's play a web game.
/gb/,rugby
/gb/,You are a big boy now.
/gd/,I saw a big dog.
/gd/,Tomorrow is a big day.
/dg/,He plays the bad guy.
/pd/,Please stop doing that.
/dp/,That is a good point.
/pg/,She got a top grade.
